,sea_ice_melt_mean,sea_ice_melt_std_dev,sea_ice_melt_trend,meteoric_mean,meteoric_std_dev,meteoric_trend,net_liquid_freshwater_mean,net_liquid_freshwater_std_dev,net_liquid_freshwater_trend
81,1578.0744609865158,529.5131124287353,1764.8638914352314,2705.4362325253637,647.8842197135082,3138.665444055844,4283.510693511879,1177.3973321422436,4903.5293354910755
82,1597.8470964529752,544.8304692471603,1763.8853349090905,2739.29800116691,667.3722450011111,3138.2250424726435,4337.145097619885,1212.2027142482714,4902.110377381734
83,1617.955549251381,546.8552887758909,1762.9067783829496,2775.131631091836,665.5153996321918,3137.7846408894434,4393.0871803432165,1212.3706884080827,4900.691419272393
84,1631.0182920644477,545.1023133500446,1761.9282218568087,2797.1486243041095,661.6526356042078,3137.344239306243,4428.166916368557,1206.7549489542525,4899.272461163052
85,1658.6933039679964,530.8065652257594,1760.9496653306678,2844.4642530508736,643.6390475009839,3136.9038377230427,4503.15755701887,1174.4456127267433,4897.8535030537105
86,1643.8936473592573,545.277905259232,1759.971108804527,2809.680250317216,667.1689239244397,3136.463436139842,4453.573897676473,1212.4468291836718,4896.434544944369
87,1669.7648097499323,508.10147060252973,1758.992552278386,2874.6553843862307,580.1204662161068,3136.023034556642,4544.4201941361625,1088.2219368186366,4895.015586835028
88,1711.6073159998741,450.6631749043456,1758.0139957522451,2951.471691059838,470.4643246696623,3135.5826329734414,4663.079007059712,921.127499574008,4893.596628725687
89,1729.5792671937531,440.62935013641936,1757.0354392261042,2979.499905378049,455.86488153223587,3135.1422313902412,4709.079172571802,896.4942316686552,4892.1776706163455
90,1698.7897132757316,435.60240333406904,1756.0568826999634,2924.3904837950467,450.889780056855,3134.7018298070407,4623.180197070778,886.4921833909241,4890.758712507004
91,1643.5095861259836,368.53242249454024,1755.0783261738227,2834.058995782251,325.1422647656348,3134.2614282238405,4477.568581908235,693.674687260175,4889.3397543976635
92,1677.0207401519503,423.72771172167523,1754.0997696476818,2878.6344476771155,403.8241708057063,3133.82102664064,4555.655187829066,827.5518825273815,4887.920796288322
93,1679.166050564855,426.2175128229989,1753.121213121541,2878.8133401321343,403.9886784668171,3133.38062505744,4557.979390696989,830.2061912898159,4886.5018381789805
94,1652.7566229301467,407.31421606573304,1752.1426565954,2835.663898760547,383.39682893423173,3132.9402234742392,4488.420521690694,790.7110449999648,4885.08288006964
95,1670.020893102067,416.77139355982877,1751.1641000692591,2863.9790224352305,401.98218095317947,3132.499821891039,4533.999915537297,818.7535745130083,4883.6639219602985
96,1681.464026480394,417.38901817608473,1750.1855435431182,2886.7898349901134,405.5582996306746,3132.0594203078385,4568.253861470507,822.9473178067593,4882.244963850957
97,1681.807056192815,417.2685541305307,1749.2069870169773,2895.3887824641383,405.9129730282563,3131.6190187246384,4577.195838656953,823.181527158787,4880.8260057416155
98,1698.1476877269106,394.91411255906934,1748.2284304908364,2935.69743370088,352.9355044987195,3131.178617141438,4633.84512142779,747.8496170577889,4879.407047632275
99,1707.8832131038089,380.1067004897929,1747.2498739646956,2951.732491375735,331.8132140883039,3130.7382155582377,4659.615704479544,711.9199145780967,4877.9880895229335
100,1737.253527519552,359.23799958775487,1746.271317438555,3001.9220502987023,323.9159096583614,3130.297813975037,4739.175577818254,683.1539092461162,4876.569131413592
101,1727.624751380719,364.8389369154549,1745.292760912414,2984.981398348087,334.3487763375753,3129.857412391837,4712.6061497288065,699.1877132530302,4875.1501733042505
102,1756.9343619702165,367.60450097057986,1744.314204386273,3037.346585224846,328.8604955673092,3129.4170108086364,4794.280947195062,696.4649965378891,4873.73121519491
103,1786.5351426208126,385.92269992967067,1743.3356478601322,3083.31669671161,341.5957369809952,3128.9766092254363,4869.851839332423,727.5184369106659,4872.3122570855685
104,1802.7174935441044,418.7531132025612,1742.3570913339913,3113.0193836899684,408.67659022666413,3128.5362076422357,4915.736877234072,827.4297034292254,4870.893298976227
105,1833.4540432944389,457.3793845901504,1741.3785348078504,3161.795292817398,454.60839194065335,3128.0958060590356,4995.249336111837,911.9877765308038,4869.4743408668855
106,1867.972696683759,469.46225556461206,1740.3999782817095,3218.7171812164474,446.71363805605466,3127.655404475835,5086.689877900207,916.1758936206668,4868.055382757545
107,1856.1376357102981,468.00737664806275,1739.4214217555686,3200.531753037138,448.3906910412911,3127.215002892635,5056.669388747436,916.3980676893539,4866.6364246482035
108,1849.833182114944,469.6734436498487,1738.4428652294278,3186.556951994889,454.63794391967906,3126.7746013094343,5036.3901341098335,924.3113875695278,4865.217466538862
109,1859.602765451559,464.2555592862098,1737.4643087032869,3201.76092192579,449.81285093715854,3126.334199726234,5061.363687377349,914.0684102233683,4863.7985084295215
110,1871.197698845989,449.96569318088086,1736.4857521771462,3219.8471968149647,431.6093793234447,3125.8937981430336,5091.044895660953,881.5750725043256,4862.37955032018
111,1868.6149287788596,454.04189207710846,1735.5071956510053,3219.396267164817,432.2706227419214,3125.4533965598334,5088.011195943676,886.3125148190298,4860.9605922108385
112,1833.5862848094296,485.73528540493237,1734.5286391248644,3151.2298281126155,486.8467104004068,3125.012994976633,4984.816112922045,972.5819958053391,4859.541634101497
113,1843.5709446672251,479.22486578008926,1733.5500825987235,3169.7362597922097,472.9511552554351,3124.5725933934327,5013.307204459435,952.1760210355244,4858.1226759921565
114,1846.5122444010037,479.9932870798046,1732.5715260725826,3174.4332176259654,474.40579457507897,3124.132191810232,5020.945462026969,954.3990816548835,4856.703717882815
115,1884.3473992776146,521.1181012241598,1731.5929695464417,3237.6344274364533,548.7984747320868,3123.691790227032,5121.981826714068,1069.9165759562466,4855.2847597734735
116,1871.424631658743,502.1095035976778,1730.6144130203008,3220.495857603995,523.4907734630442,3123.2513886438314,5091.920489262738,1025.600277060722,4853.865801664132
117,1889.233387698326,529.0361808324185,1729.63585649416,3251.1039656227344,567.503019247465,3122.8109870606313,5140.337353321061,1096.5392000798834,4852.4468435547915
